0,ling4
1,jat1,sap1
2,ji6
3,fi1,saam1
4,fo1,sei3
5,m4,m6,ng5
6,luk1,luk6
7,cat1,cat6
8,baat3
9,gau1,gau2,gau6,naai1
A,ei1
B,bi1,bi4,bit1
C,si1
D,di1,di2,dit1
E,i1,ji1,si1
F,e1
G,zi1,zyu1
I,aai1
J,zei1
K,ke1,kei1
L,eu1,lau4
M,em1,en1,ming4,sem1
N,en1
O,fou1,ou1,sou1
P,pi1
Q,kiu1
R,aau1
S,e1
T,ti1
U,ju1
V,wi1
X,ik1
Y,waai1
Z,set1
a,ei1
b,bi1
c,si1
d,di1
e,i1,ji1
g,zi1
i,aai1
k,kei1
m,em1,mit1
o,ou1
p,pi1
q,kiu1
·,dim2
⺮,zuk1
⻊,zuk1
⻍,coek3
。,dim2
〇,ling4
の,zi1
㓟,pai1
㓤,gat1
㔆,caam5
㔷,beng3
㔼,seon2
㕭,aau1,jaau1
㖭,tim1
㖿,je2
㗎,gaa1,gaa2,gaa3,gaa4
㗱,zaap6,zep2,zep4,zep6
㗲,waak1
㗾,hoe1,hoe2,hoe4
㚻,gai1
㜺,zaan2
㞗,gau1
㞘,duk1
㥋,ai1
㧬,ngung2,ung2
㧾,fat1
㨃,deoi2
㨆,lam3,lam6
㨘,saang2
㨢,lang3,nang3
㨴,kin2
㩋,sok1
㩒,am6,gam6
㩧,bok1
㪗,tau2
㬹,zaang1
㮌,min2
㷫,hing3
㷹,zaau3
㾓,jyun1
㿭,caak3
㿺,baau3
䁓,zong1
䁪,zaam2
䁽,laap3
䂻,zaang6
䆡,laang1
䆲,kwaak1,kwaang1
䉺,hong2
䊦,et3,jit3
䏙,dam1
䐁,duk1
䐥,ngong3,ngung3
䐱,zaa6
䖢,saa1
䘆,hyun2
䘒,zoe1,zoe4
䚗,gong3,gong6
䞘,gat6
䟕,caa1
䟴,an3,ngan3
䠄,din2
䡣,wan6
䭤,hin3
䱽,coeng1,cong1
一,jat1
丁,deng1,ding1,ding4
七,cat1
丈,zoeng2,zoeng6
三,saam1,saam3
上,soeng5,soeng6
下,haa2,haa5,haa6
不,bat1
丐,koi3
丑,cau2
且,ce2
世,sai3
丘,jau1
丙,bing2
丞,sing4
丟,diu1,diu2
両,loeng2,loeng5
丢,diu1
並,bing6
丫,aa1
中,zung1,zung3
串,cyun3
丸,jyun2
丹,daan1
主,zyu2
丼,dam2,dong1
乃,naai5
久,gau2
么,jiu1
之,zi1
乍,zaa3
乎,fu4
乏,fat6
乒,bing1,bing4,ling1,ping1
乓,bam1,laang1,paang1
乖,gwaai1
乘,sing4,sing6
乙,jyut6
乜,mat1
九,gau1,gau2
乞,haat1,hat1
也,jaa2,jaa4,jaa5,jaa6,je1
乩,gei1
乪,kek6
乳,jyu5
乸,laa2,naa2,naa4
乾,gon1,kin4
亂,lyun1,lyun2,lyun6
了,liu1,liu5
予,jyu4,jyu5
事,si2,si4,si6
二,ji2,ji6
亍,coet1,cuk1
于,jyu1
云,wan4
互,wu6
五,ng5
井,zeng2
些,se1
亞,aa3
亟,gik1,gik6
亡,mong4
亢,kong3
交,gaau1,kaau1
亥,hoi6
亦,jik6
亨,hang1
享,hoeng2
京,ging1
亭,ting2,ting4,ting5
亮,loeng6
人,jan1,jan2,jan4
亻,jan4
什,sam6,sap6,zaap6,zap3
仁,jan2,jan4,ngan4
仃,ding1
仄,cek1,zak1
仆,fu6,puk1
仇,cau4,kau4,sau4
今,gam1
介,gaai3
